xd,xs,No,To,Nc,Tc,fo,fc,fs,u_xd,u_xs,u_fo,u_fc,u_fs,exp
0,0,345,10.28,0,10.25,33.56031128,0,33.56031128,0.25,0.25,0.864793562,0.048780488,0.91357405,d0
0.5,0,292,10.22,3,10.38,28.57142857,0.289017341,28.28241123,0.25,0.25,0.74783338,0.055130475,0.802963855,d0
1,0,248,10.35,3,10.23,23.96135266,0.293255132,23.66809753,0.25,0.25,0.627085813,0.056042403,0.683128216,d0
1.5,0,186,10.73,2,11.03,17.33457596,0.181323663,17.15325229,0.25,0.25,0.450479402,0.0494407,0.499920102,d0
2,0,153,10.36,4,11.16,14.76833977,0.358422939,14.40991683,0.25,0.25,0.404641404,0.052832055,0.457473459,d0
2.5,0,151,10.21,4,10.36,14.78942214,0.386100386,14.40332175,0.25,0.25,0.411102403,0.057579643,0.468682045,d0
3,0,121,10.28,2,10.2,11.77042802,0.196078431,11.57434958,0.25,0.25,0.33488395,0.053825452,0.388709402,d0
3.5,0,102,10.48,2,10.41,9.732824427,0.192122959,9.540701469,0.25,0.25,0.279886079,0.052644644,0.332530722,d0
4,0,101,10.46,2,10.38,9.65583174,0.192678227,9.463153513,0.25,0.25,0.278581065,0.052810169,0.331391234,d0
4.5,0,73,10.36,0,10.33,7.046332046,0,7.046332046,0.25,0.25,0.218299518,0.048402711,0.266702229,d0
5,0,81,10.21,4,15.41,7.933398629,0.259571707,7.673826922,0.25,0.25,0.243227195,0.036657555,0.27988475,d0
5.5,0,68,10.36,4,15.3,6.563706564,0.261437908,6.302268655,0.25,0.25,0.206653151,0.0369516,0.24360475,d0
6,0,62,10.33,3,15.83,6.001936108,0.189513582,5.812422527,0.25,0.25,0.193657699,0.034578547,0.228236245,d0
6.5,0,85,15.4,5,20.13,5.519480519,0.248385494,5.271095025,0.25,0.25,0.122069489,0.027923317,0.149992806,d0
7,0,39,10.36,2,15.2,3.764478764,0.131578947,3.632899817,0.25,0.25,0.139104217,0.035058864,0.174163082,d0
7.5,0,67,15.43,7,60,4.342190538,0.116666667,4.225523871,0.25,0.25,0.102757462,0.008819444,0.111576906,d0
